"","Brood.type","Number.chicks","Sex","Farm","Telo.change","Weight"
"1","Small",5,"m","Whittle",0.244902904435934,52.5
"2","Small",5,"f","Whittle",0.381014825797868,51
"4","Small",5,"f","Whittle",0.256009998042108,47.5
"5","Small",5,"f","Whittle",0.179474985591598,41.7
"8","Large",6,"m","Whittle",0.366121461382766,48.3
"11","Large",6,"f","Whittle",-0.642088244234621,35.1
"17","Small",5,"f","Acomb",-0.118701555519461,39.9
"20","Small",5,"f","Acomb",-0.213484893677408,44
"26","Small",5,"f","Nafferton",-0.224410398195637,46.2
"28","Small",5,"f","Nafferton",0.220232027920998,39.6
"30","Small",5,"f","Nafferton",0.126093166549607,26.8
"31","Small",5,"m","Nafferton",-0.412810243516425,37.5
"32","Small",5,"m","Nafferton",0.446775794981572,49.7
"33","Small",5,"f","Nafferton",0.434168338461242,40.7
"34","Small",5,"f","Nafferton",0.179416728093001,42.5
"35","Small",5,"m","Nafferton",0.400892848328125,44.1
"37","Small",3,"f","Nafferton",0.529477340611378,37
"38","Small",3,"m","Nafferton",0.0980768323722235,47.8
"39","Small",3,"f","Nafferton",0.350610903365937,49.4
"40","Large",6,"m","Nafferton",-0.339406134508439,21.3
"41","Large",6,"m","Nafferton",0.614599984284457,47.6
"42","Large",6,"m","Nafferton",0.562686610607078,40.6
"43","Large",6,"m","Nafferton",1.22849844410215,52.3
"44","Large",6,"m","Nafferton",0.423765558748179,51.9
"45","Large",6,"m","Nafferton",0.184427661387311,52.2
"46","Small",5,"m","Nafferton",0.260255913828015,52.9
"47","Small",5,"m","Nafferton",0.288611897153979,48.7
"48","Small",5,"f","Nafferton",0.284733987071484,52.5
"49","Small",5,"m","Nafferton",0.560058611931429,49.8
"50","Small",5,"m","Nafferton",0.36405806653037,42.4
"53","Small",5,"f","Nafferton",0.374107637542526,51
"54","Small",5,"m","Nafferton",0.20637477108309,52.5
"55","Small",5,"m","Nafferton",0.352185278537163,40.8
"60","Small",5,"m","Nafferton",-0.00128812473663397,51.9
"61","Small",5,"m","Nafferton",-0.589101546628985,55.2
"62","Small",5,"f","Nafferton",-0.611921912367687,52.5
"63","Small",5,"m","Nafferton",-0.244198357172191,55.2
"64","Small",5,"f","Nafferton",-1.11672845782118,47
"65","Small",3,"f","Nafferton",0.257426316196008,40.6
"66","Small",3,"m","Nafferton",0.197210232684417,43
"67","Small",3,"m","Nafferton",0.453761486521837,46.2
"69","Small",3,"m","Nafferton",-0.688809756683571,50.4
"70","Small",3,"f","Nafferton",0.175346622553434,38.3
"71","Small",3,"f","Nafferton",0.167761075846599,56.6
"73","Small",5,"f","Nafferton",0.238824859907815,50.6
"74","Small",5,"f","Nafferton",0.0544000713173989,52.7
"75","Small",5,"f","Nafferton",-0.295650898629451,50.6
"76","Small",5,"m","Nafferton",0.225246496030778,49.3
"77","Small",5,"m","Nafferton",0.285435854814394,53.9
"78","Small",5,"f","Nafferton",-0.140079918542394,53.2
"79","Small",5,"f","Nafferton",-0.181585077461684,50
"81","Small",5,"f","Nafferton",0.324302786725276,51
"82","Small",5,"m","Nafferton",-0.343203626943096,54.2
"83","Small",5,"f","Nafferton",0.373148481655327,40.3
"84","Small",5,"m","Nafferton",0.211618920998414,54.3
"85","Small",5,"f","Nafferton",0.415402436125907,53.7
"86","Small",5,"f","Nafferton",-0.282192908567166,53.2
"87","Small",5,"f","Nafferton",0.165390038986517,53.1
"88","Small",5,"f","Nafferton",0.285399227539454,40.1
"89","Small",5,"f","Nafferton",0.42725721746108,30.7
"99","Small",5,"f","Nafferton",0.588750096240531,48.3
"100","Small",5,"m","Nafferton",0.240364217281749,44.2
"101","Small",5,"m","Nafferton",-0.15274654794709,37.3
"102","Small",5,"m","Nafferton",-0.306122171030205,40.7
"103","Small",5,"f","Nafferton",0.186584913443699,42.3
"107","Small",5,"f","Nafferton",-1.16063881052965,47.6
"110","Small",5,"m","Nafferton",-0.33392859707512,40.8
"116","Large",6,"f","West",-0.168866570758167,47
"117","Large",6,"m","West",-0.163283056543441,44.5
"118","Large",6,"f","West",-0.413664813818279,44.3
"119","Large",6,"m","West",0.564994585131724,44.6
"120","Large",6,"m","West",-0.689352579025214,33.6
"121","Large",6,"m","West",-0.32030277031314,47.9
"130","Small",3,"f","West",-0.186565791046252,41.6
"131","Small",3,"f","West",-0.307924095282372,50.6
"132","Small",3,"m","West",0.0273210182990419,52.8
"133","Small",3,"f","West",-0.0508272624043334,34.1
"134","Small",3,"m","West",-0.380589819432584,45.4
"138","Small",5,"m","West",0.347470839027023,41.5
"139","Small",5,"f","West",-0.557118420941034,48.5
"140","Small",5,"m","West",-0.452997768436793,59
"142","Large",6,"m","West",-0.179542466055486,22.9
"143","Large",6,"f","West",0.42556410280225,51.5
"145","Large",6,"f","West",-0.770779159908656,50.4
"152","Small",5,"m","West",-0.189535519928819,46.4
"153","Small",5,"m","West",0.0881757163252329,37.8
"154","Small",5,"m","West",-0.251657521067328,46.6
"155","Small",5,"m","West",0.16330490528532,47.1
"156","Small",5,"m","West",-0.392059668413172,51.2
