,BirdID,telomere.change,peakcort
1,BL17,0.096414246,18.68966
2,BL18,-0.102705809,16.1977761
3,BL22,-0.059593826,16.85029
4,BL23,0.026704184,10.36971
5,BL25,0.259512934,10.80436286
6,BL26,-0.380951533,21.96393429
7,BL27,0.033839724,15.19099615
8,BL28,-0.155472633,9.247302857
9,BL29,-0.038014224,17.51359714
10,BL30,-0.072539358,24.18206
11,BL8,-0.158981068,13.17863
12,PU15,-0.07796291,9.92024
13,PU17,0.133172982,14.576268
14,PU2,0.068629222,13.69820571
15,PU26,0.21877947,NA
16,PU29,-0.508154057,9.87432
17,PU5,-0.122464237,17.59549714
18,PU6,-0.233397035,12.2796
19,RE13,0.170174651,26.89727
20,RE2,0.059155322,NA
21,RE20,0.097893641,18.21072
22,RE23,0.227055764,21.32225294
23,RE27,0.242525738,13.58478
24,RE29,-0.116619703,10.26568
25,RE3,0.245025184,30.92899
26,RE4,-0.913357935,15.58845
27,WH100,0.322530543,18.811872
28,WH98,0.147872243,13.87400625
29,WH99,NA,21.17311714
30,YE1,0.359485508,13.24319173
31,YE12,-0.239877536,16.01906571
32,YE26,NA,15.75786564
33,YE27,-0.281776975,18.89509
34,YE28,NA,23.67716
35,YE5,-0.091650046,17.63405
36,YE8,-0.010032297,12.749325
